movie_id,Title,Year,ParentalGuide,Runtime,gross_us_canada,Genre
0118799,Life Is Beautiful,1997,PG-13,116,57563264,Romance
0118849,Children of Heaven,1997,PG,89,933933,Drama
0118849,Children of Heaven,1997,PG,89,933933,Family
0118849,Children of Heaven,1997,PG,89,933933,Sport
0119217,Good Will Hunting,1997,R,126,138433435,Drama
0119217,Good Will Hunting,1997,R,126,138433435,Romance
0119488,L.A. Confidential,1997,R,138,64616940,Crime
0119488,L.A. Confidential,1997,R,138,64616940,Drama
0119488,L.A. Confidential,1997,R,138,64616940,Mystery
0119698,Princess Mononoke,1997,PG-13,134,4845631,Animation
0119698,Princess Mononoke,1997,PG-13,134,4845631,Action
0119698,Princess Mononoke,1997,PG-13,134,4845631,Adventure
0120382,The Truman Show,1998,PG,103,125618201,Comedy
0120382,The Truman Show,1998,PG,103,125618201,Drama
0120586,American History X,1998,R,119,6719864,Crime
0120586,American History X,1998,R,119,6719864,Drama
0120689,The Green Mile,1999,R,189,136801374,Crime
0120689,The Green Mile,1999,R,189,136801374,Drama
0120689,The Green Mile,1999,R,189,136801374,Fantasy
0120735,"Lock, Stock and Two Smoking Barrels",1998,R,107,3753929,Action
0120735,"Lock, Stock and Two Smoking Barrels",1998,R,107,3753929,Comedy
0120735,"Lock, Stock and Two Smoking Barrels",1998,R,107,3753929,Crime
0120737,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,316115420,Action
0120737,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,316115420,Adventure
0120737,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,316115420,Drama
0120815,Saving Private Ryan,1998,R,169,217049603,Drama
0120815,Saving Private Ryan,1998,R,169,217049603,War
0129167,The Iron Giant,1999,PG,86,23315035,Animation
0129167,The Iron Giant,1999,PG,86,23315035,Action
0129167,The Iron Giant,1999,PG,86,23315035,Adventure
0133093,The Matrix,1999,R,136,172076928,Action
0133093,The Matrix,1999,R,136,172076928,Sci-Fi
0137523,Fight Club,1999,R,139,37030102,Drama
0167260,The Lord of the Rings: The Return of the King,2003,PG-13,201,379427292,Action
0167260,The Lord of the Rings: The Return of the King,2003,PG-13,201,379427292,Adventure
0167260,The Lord of the Rings: The Return of the King,2003,PG-13,201,379427292,Drama
0167261,The Lord of the Rings: The Two Towers,2002,PG-13,179,342952511,Action
0167261,The Lord of the Rings: The Two Towers,2002,PG-13,179,342952511,Adventure
0167261,The Lord of the Rings: The Two Towers,2002,PG-13,179,342952511,Drama
0167404,The Sixth Sense,1999,PG-13,107,293506292,Drama
0167404,The Sixth Sense,1999,PG-13,107,293506292,Mystery
0167404,The Sixth Sense,1999,PG-13,107,293506292,Thriller
0169547,American Beauty,1999,R,122,130096601,Drama
0172495,Gladiator,2000,R,155,187705427,Action
0172495,Gladiator,2000,R,155,187705427,Adventure
0172495,Gladiator,2000,R,155,187705427,Drama
0180093,Requiem for a Dream,2000,Unrated,102,3635482,Drama
0198781,"Monsters, Inc.",2001,G,92,290642256,Animation
0198781,"Monsters, Inc.",2001,G,92,290642256,Adventure
0198781,"Monsters, Inc.",2001,G,92,290642256,Comedy
0208092,Snatch,2000,R,102,30328156,Comedy
0208092,Snatch,2000,R,102,30328156,Crime
0209144,Memento,2000,R,113,25544867,Mystery
0209144,Memento,2000,R,113,25544867,Thriller
0211915,Amélie,2001,R,122,33225499,Comedy
0211915,Amélie,2001,R,122,33225499,Romance
0245429,Spirited Away,2001,PG,125,15205725,Animation
0245429,Spirited Away,2001,PG,125,15205725,Adventure
0245429,Spirited Away,2001,PG,125,15205725,Family
0245712,Amores Perros,2000,R,154,5408467,Drama
0245712,Amores Perros,2000,R,154,5408467,Thriller
0253474,The Pianist,2002,R,150,32572577,Biography
0253474,The Pianist,2002,R,150,32572577,Drama
0253474,The Pianist,2002,R,150,32572577,Music
0264464,Catch Me If You Can,2002,PG-13,141,164615351,Biography
0264464,Catch Me If You Can,2002,PG-13,141,164615351,Crime
0264464,Catch Me If You Can,2002,PG-13,141,164615351,Drama
0266543,Finding Nemo,2003,G,100,380843261,Animation
0266543,Finding Nemo,2003,G,100,380843261,Adventure
0266543,Finding Nemo,2003,G,100,380843261,Comedy
0266697,Kill Bill: Vol. 1,2003,R,111,70099045,Action
0266697,Kill Bill: Vol. 1,2003,R,111,70099045,Crime
0266697,Kill Bill: Vol. 1,2003,R,111,70099045,Drama
0268978,A Beautiful Mind,2001,PG-13,135,170742341,Biography
0268978,A Beautiful Mind,2001,PG-13,135,170742341,Drama
0317248,City of God,2002,R,130,7564459,Crime
0317248,City of God,2002,R,130,7564459,Drama
0317705,The Incredibles,2004,PG,115,261441092,Animation
0317705,The Incredibles,2004,PG,115,261441092,Action
0317705,The Incredibles,2004,PG,115,261441092,Adventure
0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,143,305413918,Action
0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,143,305413918,Adventure
0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,143,305413918,Fantasy
0338013,Eternal Sunshine of the Spotless Mind,2004,R,108,34400301,Drama
0338013,Eternal Sunshine of the Spotless Mind,2004,R,108,34400301,Romance
0338013,Eternal Sunshine of the Spotless Mind,2004,R,108,34400301,Sci-Fi
0347149,Howl's Moving Castle,2004,PG,119,6789268,Animation
0347149,Howl's Moving Castle,2004,PG,119,6789268,Adventure
0347149,Howl's Moving Castle,2004,PG,119,6789268,Family
