movie_id,Title,Year,ParentalGuide,Runtime,gross_us_canada
1392190,Mad Max: Fury Road,2015,R,120,154109060
0978762,Mary and Max,2009,Unrated,92,
0892769,How to Train Your Dragon,2010,PG,98,217581231
0050976,The Seventh Seal,1957,Unrated,96,
0097165,Dead Poets Society,1989,PG,128,95860116
0198781,"Monsters, Inc.",2001,G,92,290642256
0073195,Jaws,1975,PG,124,265859065
3170832,Room,2015,R,118,14677654
0118715,The Big Lebowski,1998,R,117,18254458
0046438,Tokyo Story,1953,Unrated,136,
1950186,Ford v Ferrari,2019,PG-13,152,117624357
0019254,The Passion of Joan of Arc,1928,Passed,114,21877
0395169,Hotel Rwanda,2004,PG-13,121,23530892
0075148,Rocky,1976,PG,120,117235147
0382932,Ratatouille,2007,G,111,206445654
0091763,Platoon,1986,R,120,138530565
3315342,Logan,2017,R,137,226277068
1895587,Spotlight,2015,R,129,45055776
0088247,The Terminator,1984,R,107,38371200
0092005,Stand by Me,1986,R,89,52287414
1979320,Rush,2013,R,123,26947624
0074958,Network,1976,R,121,23689877
0381681,Before Sunset,2004,R,80,5820649
0032138,The Wizard of Oz,1939,G,102,24668669
0758758,Into the Wild,2007,R,148,18354356
0036868,The Best Years of Our Lives,1946,Approved,170,23650000
0070047,The Exorcist,1973,R,122,233005644
0107048,Groundhog Day,1993,PG,101,71107962
0317705,The Incredibles,2004,PG,115,261441092
0113247,La haine,1995,Unrated,98,280859
0035446,To Be or Not to Be,1942,Passed,99,3270000
0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,143,305413918
1028532,Hachi: A Dog's Tale,2009,G,93,
0032551,The Grapes of Wrath,1940,Passed,129,
0058946,The Battle of Algiers,1966,Unrated,121,879794
0048473,Pather Panchali,1955,Unrated,125,134241
15097216,Jai Bhim,2021,TV-MA,164,
0476735,My Father and My Son,2005,Unrated,112,
0245712,Amores Perros,2000,R,154,5408467
0032976,Rebecca,1940,Approved,130,
4016934,The Handmaiden,2016,Unrated,145,2006788
0061512,Cool Hand Luke,1967,GP,127,
0059742,The Sound of Music,1965,G,172,159287539
0025316,It Happened One Night,1934,Passed,105,
0053198,The 400 Blows,1959,Unrated,99,509
0060827,Persona,1966,Unrated,83,
0079470,Life of Brian,1979,R,94,20206622
0129167,The Iron Giant,1999,PG,86,23315035
1454029,The Help,2011,PG-13,146,169708112
0103639,Aladdin,1992,G,90,217350219
0099348,Dances with Wolves,1990,PG-13,181,184208848
