movie_id,Title,Year,ParentalGuide,Runtime,gross_us_canada,Star
0086879,Amadeus,1984,PG,160,51973029,Elizabeth Berridge
2380307,Coco,2017,PG,105,210460015,Anthony Gonzalez
2380307,Coco,2017,PG,105,210460015,Gael García Bernal
2380307,Coco,2017,PG,105,210460015,Benjamin Bratt
0114709,Toy Story,1995,G,81,223225679,Tom Hanks
0114709,Toy Story,1995,G,81,223225679,Tim Allen
0114709,Toy Story,1995,G,81,223225679,Don Rickles
0112573,Braveheart,1995,R,178,75609945,Mel Gibson
0112573,Braveheart,1995,R,178,75609945,Sophie Marceau
0112573,Braveheart,1995,R,178,75609945,Patrick McGoohan
7286456,Joker,2019,R,122,335477657,Joaquin Phoenix
7286456,Joker,2019,R,122,335477657,Robert De Niro
7286456,Joker,2019,R,122,335477657,Zazie Beetz
0082096,Das Boot,1981,Unrated,149,11487676,Jürgen Prochnow
0082096,Das Boot,1981,Unrated,149,11487676,Herbert Grönemeyer
0082096,Das Boot,1981,Unrated,149,11487676,Klaus Wennemann
4154796,Avengers: Endgame,2019,PG-13,181,858373000,Robert Downey Jr.
4154796,Avengers: Endgame,2019,PG-13,181,858373000,Chris Evans
4154796,Avengers: Endgame,2019,PG-13,181,858373000,Mark Ruffalo
0119698,Princess Mononoke,1997,PG-13,134,4845631,Yôji Matsuda
0119698,Princess Mononoke,1997,PG-13,134,4845631,Yuriko Ishida
0119698,Princess Mononoke,1997,PG-13,134,4845631,Yûko Tanaka
0119217,Good Will Hunting,1997,R,126,138433435,Robin Williams
0119217,Good Will Hunting,1997,R,126,138433435,Matt Damon
0119217,Good Will Hunting,1997,R,126,138433435,Ben Affleck
0087843,Once Upon a Time in America,1984,R,229,5321508,Robert De Niro
0087843,Once Upon a Time in America,1984,R,229,5321508,James Woods
0087843,Once Upon a Time in America,1984,R,229,5321508,Elizabeth McGovern
5311514,Your Name.,2016,TV-PG,106,5017246,Ryunosuke Kamiki
5311514,Your Name.,2016,TV-PG,106,5017246,Mone Kamishiraishi
5311514,Your Name.,2016,TV-PG,106,5017246,Ryo Narita
0045152,Singin' in the Rain,1952,G,103,1884537,Gene Kelly
0045152,Singin' in the Rain,1952,G,103,1884537,Donald O'Connor
0045152,Singin' in the Rain,1952,G,103,1884537,Debbie Reynolds
1187043,3 Idiots,2009,PG-13,170,6532874,Aamir Khan
1187043,3 Idiots,2009,PG-13,170,6532874,Madhavan
1187043,3 Idiots,2009,PG-13,170,6532874,Mona Singh
0180093,Requiem for a Dream,2000,Unrated,102,3635482,Ellen Burstyn
0180093,Requiem for a Dream,2000,Unrated,102,3635482,Jared Leto
0180093,Requiem for a Dream,2000,Unrated,102,3635482,Jennifer Connelly
0057565,High and Low,1963,Unrated,143,46808,Toshirô Mifune
0057565,High and Low,1963,Unrated,143,46808,Yutaka Sada
0057565,High and Low,1963,Unrated,143,46808,Tatsuya Nakadai
0435761,Toy Story 3,2010,G,103,415004880,Tom Hanks
0435761,Toy Story 3,2010,G,103,415004880,Tim Allen
0435761,Toy Story 3,2010,G,103,415004880,Joan Cusack
8267604,Capernaum,2018,R,126,1661096,Zain Al Rafeea
8267604,Capernaum,2018,R,126,1661096,Yordanos Shiferaw
8267604,Capernaum,2018,R,126,1661096,Boluwatife Treasure Bankole
0086190,Star Wars: Episode VI - Return of the Jedi,1983,PG,131,316566101,Mark Hamill
0086190,Star Wars: Episode VI - Return of the Jedi,1983,PG,131,316566101,Harrison Ford
0086190,Star Wars: Episode VI - Return of the Jedi,1983,PG,131,316566101,Carrie Fisher
0062622,2001: A Space Odyssey,1968,G,149,60481243,Keir Dullea
0062622,2001: A Space Odyssey,1968,G,149,60481243,Gary Lockwood
0062622,2001: A Space Odyssey,1968,G,149,60481243,William Sylvester
0338013,Eternal Sunshine of the Spotless Mind,2004,R,108,34400301,Jim Carrey
0338013,Eternal Sunshine of the Spotless Mind,2004,R,108,34400301,Kate Winslet
0338013,Eternal Sunshine of the Spotless Mind,2004,R,108,34400301,Tom Wilkinson
0091251,Come and See,1985,Unrated,142,71909,Aleksey Kravchenko
0091251,Come and See,1985,Unrated,142,71909,Olga Mironova
0091251,Come and See,1985,Unrated,142,71909,Liubomiras Laucevicius
0105236,Reservoir Dogs,1992,R,99,2832029,Harvey Keitel
0105236,Reservoir Dogs,1992,R,99,2832029,Tim Roth
0105236,Reservoir Dogs,1992,R,99,2832029,Michael Madsen
2106476,The Hunt,2012,R,115,613308,Mads Mikkelsen
2106476,The Hunt,2012,R,115,613308,Thomas Bo Larsen
2106476,The Hunt,2012,R,115,613308,Annika Wedderkopp
0056172,Lawrence of Arabia,1962,Approved,218,45306425,Peter O'Toole
0056172,Lawrence of Arabia,1962,Approved,218,45306425,Alec Guinness
0056172,Lawrence of Arabia,1962,Approved,218,45306425,Anthony Quinn
0033467,Citizen Kane,1941,PG,119,1627530,Orson Welles
0033467,Citizen Kane,1941,PG,119,1627530,Joseph Cotten
0033467,Citizen Kane,1941,PG,119,1627530,Dorothy Comingore
0022100,M,1931,Passed,99,35566,Peter Lorre
0022100,M,1931,Passed,99,35566,Ellen Widmann
0022100,M,1931,Passed,99,35566,Inge Landgut
0044741,Ikiru,1952,Unrated,143,60239,Takashi Shimura
0044741,Ikiru,1952,Unrated,143,60239,Nobuo Kaneko
0044741,Ikiru,1952,Unrated,143,60239,Shin'ichi Himori
0053125,North by Northwest,1959,Approved,136,66728,Cary Grant
0053125,North by Northwest,1959,Approved,136,66728,Eva Marie Saint
0053125,North by Northwest,1959,Approved,136,66728,James Mason
0052357,Vertigo,1958,PG,128,7705225,James Stewart
0052357,Vertigo,1958,PG,128,7705225,Kim Novak
0052357,Vertigo,1958,PG,128,7705225,Barbara Bel Geddes
0053604,The Apartment,1960,Approved,125,18600000,Jack Lemmon
0053604,The Apartment,1960,Approved,125,18600000,Shirley MacLaine
0053604,The Apartment,1960,Approved,125,18600000,Fred MacMurray
0211915,Amélie,2001,R,122,33225499,Audrey Tautou
0211915,Amélie,2001,R,122,33225499,Mathieu Kassovitz
0211915,Amélie,2001,R,122,33225499,Rufus
0036775,Double Indemnity,1944,Passed,107,,Fred MacMurray
0036775,Double Indemnity,1944,Passed,107,,Barbara Stanwyck
0036775,Double Indemnity,1944,Passed,107,,Edward G. Robinson
0066921,A Clockwork Orange,1971,X,136,26617553,Malcolm McDowell
0066921,A Clockwork Orange,1971,X,136,26617553,Patrick Magee
0066921,A Clockwork Orange,1971,X,136,26617553,Michael Bates
0093058,Full Metal Jacket,1987,R,116,46357676,Matthew Modine
0093058,Full Metal Jacket,1987,R,116,46357676,R. Lee Ermey
0093058,Full Metal Jacket,1987,R,116,46357676,Vincent D'Onofrio
0086250,Scarface,1983,R,170,45408703,Al Pacino
0086250,Scarface,1983,R,170,45408703,Michelle Pfeiffer
0086250,Scarface,1983,R,170,45408703,Steven Bauer
1255953,Incendies,2010,R,131,2071334,Lubna Azabal
1255953,Incendies,2010,R,131,2071334,Mélissa Désormeaux-Poulin
1255953,Incendies,2010,R,131,2071334,Maxim Gaudette
8503618,Hamilton,2020,PG-13,160,,Lin-Manuel Miranda
8503618,Hamilton,2020,PG-13,160,,Phillipa Soo
8503618,Hamilton,2020,PG-13,160,,Leslie Odom Jr.
0113277,Heat,1995,R,170,67436818,Al Pacino
0113277,Heat,1995,R,170,67436818,Robert De Niro
0113277,Heat,1995,R,170,67436818,Val Kilmer
1049413,Up,2009,PG,96,293004164,Edward Asner
1049413,Up,2009,PG,96,293004164,Jordan Nagai
1049413,Up,2009,PG,96,293004164,John Ratzenberger
0056592,To Kill a Mockingbird,1962,Approved,129,592237,Gregory Peck
0056592,To Kill a Mockingbird,1962,Approved,129,592237,John Megna
0056592,To Kill a Mockingbird,1962,Approved,129,592237,Frank Overton
0070735,The Sting,1973,PG,129,156000000,Paul Newman
0070735,The Sting,1973,PG,129,156000000,Robert Redford
0070735,The Sting,1973,PG,129,156000000,Robert Shaw
1832382,A Separation,2011,PG-13,123,7099055,Payman Maadi
1832382,A Separation,2011,PG-13,123,7099055,Leila Hatami
1832382,A Separation,2011,PG-13,123,7099055,Sareh Bayat
0017136,Metropolis,1927,Unrated,153,1236166,Brigitte Helm
